,Verb,ObjKeyword,ObjSent,Rating,SbjKeyword,SbjSent,Message,Count
0,be,,positive,good,pizza,neutral,the pizza was amazing I can definitely attest to this ,1
0,recommend,breakfast,positive,good,,neutral,I recommend you serve your awesome tiramisu every night selfish we had our breakfast and supper every night and the every day in the dining room ,1
0,find,meal,negative,good,,neutral,We found that the shoving and pushing and the desperation for food as if it was a last meal was more than we wanted to tolerate ,1
0,show,situation,positive,good,table,neutral,The waiter at that table his name escapes me showed exemplary restraint and mannerly handling of the situation ,1
0,take,beer,neutral,bad,bar service,negative,bar service takes for a beer or a pina colada ,1
0,be,grain,positive,good,board bakery,neutral,grilled half tomatoesThe on board bakery was excellent with a wide selection of grain and health breads as well as variations on white breads ,1
0,be,welcome bonus,positive,bad,deck,neutral,The free softserve ice cream served daily outside the entrance to the buffet on deck 13 was an unexpected and very welcome bonus ,1
0,be,,positive,good,dinner,neutral,Dinner was very enjoyable as well ,1
0,have,blueberry cheesecake,positive,good,,neutral,They had excellent tiramisu and blueberry cheesecake ,1
0,give,wartama,positive,good,ta,neutral,ta give of praise to our waiter Wartama who was extremely attentive ,1
0,be,dinner,neutral,good,best shows,positive,The best shows were the late ones that played after dinner ,1
0,equip,small table,positive,good,cabin,neutral,The cabin equipped with plenty of storage and wardrobe space a good sized bathroom a nice balcony with two chairs and a small table ,1
0,consist,discription,neutral,bad,welcome buffet,positive,a welcome buffet consisted of cold half cooked burgers of some discription with cold chips ,1
0,serve,,neutral,bad,food,negative,such a poor standard of food served ,1
0,be,,neutral,good,lunch,positive,Restaurants The food in the dining rooms table service for breakfast and lunch are very good ,1
0,be,,neutral,good,food,positive,The food in the dining room for dinner is fantastic ,1
0,be,,neutral,good,food,negative,Restaurants food is presented very well ,1
0,be,buffet,positive,good,choices,neutral,Several choices of deserts were delicious and nicely decorated in buffet and MDR ,1
0,find,food,positive,good,,neutral,I found the quality and the selection of the food to be quite good ,1
0,find,performers,positive,good,,neutral,We found the ship to be spotless the staff friendly and professional the food and drink great the shows and entertainment INCREDIBLE so incredible the performers received standing ovations at every show we attended ,1
0,be,,neutral,bad,pasta,positive,The breads pastries and pasta were all good ,1
0,be,,neutral,bad,pasta,positive,The breads pastries and pasta was about it ,1
0,be,,neutral,good,desserts,positive,Appetizers and desserts were good ,1
0,be,bread,neutral,good,desserts,positive,Appetizers and desserts was the bread ,1
0,fill,life,negative,bad,ship,neutral,this ship is filled with the most ignorant rude classless disgusting pigs I have ever seen in my life ,1
0,put,,neutral,bad,disgusting pigs,negative,the most ignorant rude classless disgusting pigs I putting it ,1
0,be,joke,neutral,bad,midnight buffet,positive,the midnight buffet is a joke ,1
0,offer,libations,neutral,good,beer,positive,The wine beer and cocktail packages offered libations ,1
0,be,,neutral,good,libations,negative,The wine beer and cocktail packages available offered libations at the lowest prices I have ever seen at sea and bar service was excellent ,1
0,be,drinks,positive,good,msc,neutral,MSC was VERY generous with the drinks at the captian's cocktail parties,1
0,be,euros,neutral,bad,occational drinkglass,positive,one soft drink and the occational drinkglass of wine AND MSC fees you pay both 15% gratuity and service fee was 1000 euros ,1
0,make,,neutral,bad,coffee,positive,Your drinks and tea and coffee make the bill ,1
0,be,repetitive menu,negative,bad,food,neutral,The food is a repetitive menu ,1
0,had,,neutral,bad,inexperienced waiters,negative,some inexperienced waiters Had ,1
0,begin,drinks,neutral,bad,fun,positive,the fun begins or notthe 431 drinks package ,1
0,be,villa verde,neutral,good,meals,positive,Meals Our assigned dining room was Villa Verde ,1
0,include,,neutral,good,beers,positive,all drinks cocktails spirits wines and beers included it ,1
0,fill,,neutral,good,france,positive,with wine etc Not everybodys cup of tea but I love driving in France could fill up ,1
0,have,nice selection,positive,good,buffet,neutral,The buffet had a nice selection of pasta dishes ,1
0,situate,14th floor,neutral,bad,breakfast restaurant,positive,The breakfast restaurant situated on the 14th floor ,1
0,be,tin food,negative,bad,restaurant,neutral,food in restaurant is bland and all tin food ,1
0,find,free coffee,positive,good,,neutral,I found even the free coffee at the Buffet is very good ,1
