,Word,Rating,Year,Ship,Line,Negative,Positive,Total
0,11th deck,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
1,12 loungers,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2,12th deck,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
3,12th deck,good,2013,MSC Lirica,Msc,0.0,1.0,1.0
4,13th deck,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
5,13th floor,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
6,13th floor,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
7,13yearold daughters,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
8,14th deck,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
9,15 min,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
10,15pack drink packages,good,2013,MSC Divina,Msc,0.0,1.0,1.0
11,19 night cruise,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
12,20th anniversary trip,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
13,20th wedding anniversary,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
14,25th wedding anniversary,bad,2010,MSC Fantasia,Msc,0.0,1.0,1.0
15,35th wedding anniversary,bad,2010,MSC Musica,Msc,1.0,0.0,1.0
16,35th wedding anniversary,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
17,38 adult,good,2012,MSC Opera,Msc,0.0,1.0,1.0
18,40th wedding anniversary,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
19,40th wedding anniversary,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
20,40th wedding anniversary,good,2014,MSC Divina,Msc,0.0,1.0,1.0
21,4course meals,good,2014,MSC Divina,Msc,0.0,1.0,1.0
22,4d cinema,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
23,4d theater,good,2014,MSC Divina,Msc,1.0,0.0,1.0
24,60th birthday,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
25,60th birthday,bad,2014,MSC Preziosa,Msc,0.0,1.0,1.0
26,60th birthday,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
27,75 cents,good,2013,MSC Divina,Msc,0.0,1.0,1.0
28,7am,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
29,7am excursion meeting,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
30,7day cruise,good,2012,MSC Lirica,Msc,0.0,1.0,1.0
31,7night cruise,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
32,8yearold son,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
33,a alcoholic beverages,good,2014,MSC Divina,Msc,0.0,1.0,1.0
34,abba tribute,good,2013,MSC Divina,Msc,0.0,1.0,1.0
35,abject misery,bad,2010,MSC Sinfonia,Msc,1.0,0.0,1.0
36,absolute best performances,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
37,absolute fortune,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
38,absolute fortune,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
39,absolute nightmare,good,2011,MSC Magnifica,Msc,1.0,0.0,1.0
40,absolute worst aspect,good,2014,MSC Lirica,Msc,1.0,0.0,1.0
41,absolutely beautiful place,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
42,absolutely beautiful ship,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
43,absolutely beautiful ship,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
44,absolutely best cabin,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
45,absolutely delicious leg,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
46,absolutely fantastic cruise,good,2009,MSC Poesia,Msc,0.0,1.0,1.0
47,absolutely fantastic place,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
48,absolutely gorgeous furnishings,good,2008,MSC Musica,Msc,0.0,1.0,1.0
49,absolutely gorgeous ship,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
50,absolutely loved ship,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
51,absolutely mindblowing experience,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
52,absolutely outstanding performances,good,2013,MSC Opera,Msc,0.0,1.0,1.0
53,absolutely terrible experience,bad,2012,MSC Poesia,Msc,1.0,0.0,1.0
54,absolutely unbearable gaggle,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
55,abu dabhi airport,bad,2012,MSC Lirica,Msc,1.0,0.0,1.0
56,abundant lounges,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
57,acceptable entertainment,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
58,acceptable house wines,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
59,acceptable standard,good,2013,MSC Divina,Msc,0.0,1.0,1.0
60,access,good,2014,MSC Divina,Msc,0.0,1.0,1.0
61,accommodation,bad,2011,MSC Magnifica,Msc,0.0,1.0,1.0
62,account,bad,2009,MSC Fantasia,Msc,0.0,1.0,1.0
63,accounting center,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
64,accounting desk,bad,2010,MSC Musica,Msc,1.0,0.0,1.0
65,accounting office,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
66,accounting office,good,2010,MSC Magnifica,Msc,1.0,0.0,1.0
67,accounting staff,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
68,accounts staff,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
69,accurate information,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
70,acidic heartburn,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
71,acrobatics team,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
72,action station,good,2013,MSC Splendida,Msc,1.0,0.0,1.0
73,activitiessmall cabin,good,2014,MSC Divina,Msc,1.0,0.0,1.0
74,actual food quality,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
75,actual opera stars,good,2014,MSC Divina,Msc,0.0,1.0,1.0
76,actually performance time,bad,2014,MSC Sinfonia,Msc,1.0,0.0,1.0
77,added bonus,good,2013,MSC Divina,Msc,0.0,1.0,1.0
78,additional bonus,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
79,additional charges,bad,2012,MSC Lirica,Msc,1.0,0.0,1.0
80,additional cost,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
81,additional cost,good,2011,MSC Splendida,Msc,0.0,1.0,1.0
82,additional cost,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
83,additional seasoning,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
84,additional selections,good,2013,MSC Divina,Msc,0.0,1.0,1.0
85,adequate food,bad,2011,MSC Magnifica,Msc,1.0,0.0,1.0
86,adequate open areas,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
87,adequate quality,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
88,adequate room,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
89,adequate space,good,2013,MSC Orchestra,Msc,1.0,0.0,1.0
90,adjoining closet houses,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
91,adult areas,good,2014,MSC Divina,Msc,0.0,1.0,1.0
92,adult experience,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
93,adult related activities,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
94,adult traditional introduction,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
95,adultsonly sunbathing area,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
96,advanced technology,bad,2011,MSC Magnifica,Msc,0.0,1.0,1.0
97,advertisement area,bad,2011,MSC Orchestra,Msc,1.0,0.0,1.0
98,aerobics classes,good,2014,MSC Sinfonia,Msc,0.0,1.0,1.0
99,afew tips,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
100,affordable rate,good,2013,MSC Divina,Msc,0.0,1.0,1.0
101,affordable way,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
102,aft balcony,good,2011,MSC Musica,Msc,0.0,2.0,2.0
103,aft lounge,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
104,aft pool,good,2014,MSC Divina,Msc,0.0,1.0,1.0
105,aft view,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
106,aftercruise blues syndrome,good,2014,MSC Divina,Msc,1.0,0.0,1.0
107,afternoon cookies,bad,2008,MSC Orchestra,Msc,0.0,1.0,1.0
108,afternoon everyday,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
109,afternoon fountain drinks,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
110,afternoon tea,bad,2011,MSC Lirica,Msc,1.0,0.0,1.0
111,afternoon tea,good,2010,MSC Sinfonia,Msc,0.0,1.0,1.0
112,afternoon teas,good,2012,MSC Opera,Msc,0.0,1.0,1.0
113,age group,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
114,aggressive accounts office,bad,2009,MSC Sinfonia,Msc,1.0,0.0,1.0
115,aggressive taxi drivers,bad,2011,MSC Fantasia,Msc,0.0,1.0,1.0
116,ai package,good,2013,MSC Divina,Msc,0.0,1.0,1.0
117,air aboard,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
118,air boat,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
119,air conditioned tour,good,2009,MSC Poesia,Msc,0.0,1.0,1.0
120,air conditioning,bad,2014,MSC Magnifica,Msc,1.0,0.0,1.0
121,air conditioning controls,good,2013,MSC Orchestra,Msc,0.0,1.0,1.0
122,air fare,good,2014,MSC Divina,Msc,0.0,1.0,1.0
123,airboat ride,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
124,airport,bad,2010,MSC Orchestra,Msc,1.0,0.0,1.0
125,airport,good,2014,MSC Fantasia,Msc,1.0,0.0,1.0
126,airport terminal,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
127,airy,bad,2012,MSC Divina,Msc,0.0,1.0,1.0
128,ala carte,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
129,ala carte menu,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
130,alchemy menu,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
131,alcoholic beverages,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
132,alcoholic drinks,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
133,alcoholic drinks,good,2011,MSC Splendida,Msc,0.0,1.0,1.0
134,alcoholic drinks,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
135,aldo,good,2013,MSC Divina,Msc,0.0,1.0,1.0
136,all inclusive alcohol,good,2014,MSC Divina,Msc,0.0,1.0,1.0
137,allegressimo drink package,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
138,allegrisimo drinks package,good,2013,MSC Opera,Msc,0.0,1.0,1.0
139,allegrisimo package,good,2013,MSC Opera,Msc,0.0,1.0,1.0
140,allegrisimo package,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
141,allegrisimo package,good,2014,MSC Opera,Msc,0.0,1.0,1.0
142,allegrisimo package,good,2014,MSC Splendida,Msc,0.0,1.0,1.0
143,allegrismo package,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
144,allegrissimo classic package,good,2013,MSC Divina,Msc,0.0,1.0,1.0
145,allegrissimo drinks package,good,2013,MSC Divina,Msc,0.0,1.0,1.0
146,allegrissimo package,good,2012,MSC Musica,Msc,0.0,1.0,1.0
147,allegrissimo package,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
148,allegrissimo package,good,2014,MSC Divina,Msc,1.0,0.0,1.0
149,allegrissimo package,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
150,allegrissimo premium package,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
151,allegrissmo drinks packages,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
152,alligator alley,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
153,allinclusive allegrissimo package,good,2013,MSC Opera,Msc,0.0,1.0,1.0
154,allinclusive package,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
155,always lovely porters,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
156,amateur night,bad,2010,MSC Fantasia,Msc,1.0,0.0,1.0
157,amazing 2night getaway,good,2014,MSC Divina,Msc,0.0,1.0,1.0
158,amazing area,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
159,amazing choice,good,2008,MSC Orchestra,Msc,0.0,1.0,1.0
160,amazing cocktails,good,2013,MSC Magnifica,Msc,0.0,1.0,1.0
161,amazing cruise,good,2014,MSC Divina,Msc,0.0,1.0,1.0
162,amazing dancers,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
