,Word,Rating,Year,Ship,Line,Negative,Positive,Total
0, unacceptable,bad,2011,MSC Sinfonia,Msc,1.0,0.0,1.0
1,11nights cruise,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
2,11th cruise,good,2014,MSC Divina,Msc,0.0,1.0,1.0
3,11th deck,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
4,11th floor,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
5,11th floor,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
6,12 hour,good,2012,MSC Poesia,Msc,1.0,0.0,1.0
7,12 loungers,good,2014,MSC Divina,Msc,0.0,1.0,1.0
8,12th deck,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
9,12th deck,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
10,12th deck,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
11,12th deck,good,2013,MSC Lirica,Msc,0.0,1.0,1.0
12,13 times,good,2014,MSC Orchestra,Msc,1.0,0.0,1.0
13,13th deck,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
14,13th floor,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
15,13th floor,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
16,13th floor cafeteria,bad,2014,MSC Poesia,Msc,1.0,0.0,1.0
17,13yearold daughters,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
18,14th deck,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
19,14th deck,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
20,14th floor,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
21,15 min,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
22,15 min,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
23,15 minutes,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
24,15pack drink packages,good,2013,MSC Divina,Msc,0.0,1.0,1.0
25,19 night cruise,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
26,1l water,good,2011,MSC Magnifica,Msc,0.0,1.0,1.0
27,1l water bottle,good,2011,MSC Magnifica,Msc,0.0,1.0,1.0
28,2022 knots,good,2010,MSC Splendida,Msc,1.0,0.0,1.0
29,20th anniversary trip,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
30,20th wedding anniversary,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
31,24 hour,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
32,247,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
33,25th wedding anniversary,bad,2010,MSC Fantasia,Msc,0.0,1.0,1.0
34,25th wedding anniversary,good,2014,MSC Divina,Msc,0.0,1.0,1.0
35,27th cruise,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
36,2hour tour,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
37,2night cruise,good,2014,MSC Divina,Msc,0.0,1.0,1.0
38,2only beverage stations,bad,2012,MSC Poesia,Msc,0.0,1.0,1.0
39,2star chef mauro,bad,2010,MSC Orchestra,Msc,0.0,1.0,1.0
40,30th wedding anniversary,bad,2010,MSC Opera,Msc,0.0,1.0,1.0
41,35th wedding anniversary,bad,2010,MSC Musica,Msc,1.0,0.0,1.0
42,35th wedding anniversary,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
43,38 adult,good,2012,MSC Opera,Msc,0.0,1.0,1.0
44,39th wedding anniversary,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
45,40person hydrotherapy pool,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
46,40th anniversary,bad,2014,MSC Opera,Msc,0.0,1.0,1.0
47,40th wedding anniversary,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
48,40th wedding anniversary,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
49,40th wedding anniversary,good,2014,MSC Divina,Msc,0.0,1.0,1.0
50,45th wedding anniversary,bad,2011,MSC Poesia,Msc,0.0,1.0,1.0
51,47th cruise,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
52,4course meals,good,2014,MSC Divina,Msc,0.0,1.0,1.0
53,4d cinema,bad,2013,MSC Preziosa,Msc,1.0,0.0,1.0
54,4d cinema,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
55,4d theater,good,2014,MSC Divina,Msc,1.0,0.0,1.0
56,4hour flight delay,good,2012,MSC Splendida,Msc,1.0,0.0,1.0
57,50th anniversary,good,2014,MSC Opera,Msc,0.0,1.0,1.0
58,5fm publicity,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
59,60th birthday,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
60,60th birthday,bad,2014,MSC Preziosa,Msc,0.0,1.0,1.0
61,60th birthday,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
62,6am,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
63,75 cents,good,2013,MSC Divina,Msc,0.0,1.0,1.0
64,7am,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
65,7am excursion meeting,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
66,7day cruise,good,2012,MSC Lirica,Msc,0.0,1.0,1.0
67,7night cruise,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
68,8yearold son,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
