,Word,Rating,Year,Ship,Line,Negative,Positive,Total
0,11th deck,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
1,12th deck,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
2,13th deck,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
3,13th floor,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
4,15 min,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
5,19 night cruise,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
6,20th anniversary trip,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
7,25th wedding anniversary,bad,2010,MSC Fantasia,Msc,0.0,1.0,1.0
8,35th wedding anniversary,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
9,40th wedding anniversary,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
10,40th wedding anniversary,good,2014,MSC Divina,Msc,0.0,1.0,1.0
11,4course meals,good,2014,MSC Divina,Msc,0.0,1.0,1.0
12,4d theater,good,2014,MSC Divina,Msc,1.0,0.0,1.0
13,60th birthday,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
14,75 cents,good,2013,MSC Divina,Msc,0.0,1.0,1.0
15,a alcoholic beverages,good,2014,MSC Divina,Msc,0.0,1.0,1.0
16,abject misery,bad,2010,MSC Sinfonia,Msc,1.0,0.0,1.0
17,absolute worst aspect,good,2014,MSC Lirica,Msc,1.0,0.0,1.0
18,absolutely beautiful place,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
19,absolutely beautiful ship,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
20,absolutely best cabin,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
21,absolutely fantastic cruise,good,2009,MSC Poesia,Msc,0.0,1.0,1.0
22,absolutely gorgeous furnishings,good,2008,MSC Musica,Msc,0.0,1.0,1.0
23,absolutely gorgeous ship,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
24,absolutely loved ship,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
25,absolutely mindblowing experience,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
26,absolutely terrible experience,bad,2012,MSC Poesia,Msc,1.0,0.0,1.0
27,absolutely unbearable gaggle,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
28,abu dabhi airport,bad,2012,MSC Lirica,Msc,1.0,0.0,1.0
29,acceptable standard,good,2013,MSC Divina,Msc,0.0,1.0,1.0
30,accounts staff,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
31,acidic heartburn,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
32,acrobatics team,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
33,actual food quality,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
34,actually performance time,bad,2014,MSC Sinfonia,Msc,1.0,0.0,1.0
35,added bonus,good,2013,MSC Divina,Msc,0.0,1.0,1.0
36,additional seasoning,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
37,adequate food,bad,2011,MSC Magnifica,Msc,1.0,0.0,1.0
38,adequate open areas,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
39,adequate quality,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
40,adult areas,good,2014,MSC Divina,Msc,0.0,1.0,1.0
41,adultsonly sunbathing area,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
42,afew tips,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
43,affordable rate,good,2013,MSC Divina,Msc,0.0,1.0,1.0
44,affordable way,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
45,aft balcony,good,2011,MSC Musica,Msc,0.0,1.0,1.0
46,aft pool,good,2014,MSC Divina,Msc,0.0,1.0,1.0
47,aft view,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
48,aftercruise blues syndrome,good,2014,MSC Divina,Msc,1.0,0.0,1.0
49,afternoon everyday,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
50,afternoon teas,good,2012,MSC Opera,Msc,0.0,1.0,1.0
51,air conditioned tour,good,2009,MSC Poesia,Msc,0.0,1.0,1.0
52,airboat ride,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
53,airport terminal,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
54,alcoholic drinks,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
55,all inclusive alcohol,good,2014,MSC Divina,Msc,0.0,1.0,1.0
56,allegressimo drink package,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
57,allegrisimo package,good,2013,MSC Opera,Msc,0.0,1.0,1.0
58,allegrisimo package,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
59,allegrissimo classic package,good,2013,MSC Divina,Msc,0.0,1.0,1.0
60,allegrissimo drinks package,good,2013,MSC Divina,Msc,0.0,1.0,1.0
61,allegrissimo package,good,2012,MSC Musica,Msc,0.0,1.0,1.0
62,allegrissmo drinks packages,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
63,allinclusive allegrissimo package,good,2013,MSC Opera,Msc,0.0,1.0,1.0
64,allinclusive package,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
65,always lovely porters,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
66,amateur night,bad,2010,MSC Fantasia,Msc,1.0,0.0,1.0
67,amazing choice,good,2008,MSC Orchestra,Msc,0.0,1.0,1.0
68,amazing cruise,good,2014,MSC Divina,Msc,0.0,1.0,1.0
69,amazing dancers,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
70,amazing desserts,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
71,amazing family portraits,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
72,amazing food,bad,2012,MSC Musica,Msc,0.0,1.0,1.0
73,amazing food,good,2011,MSC Musica,Msc,0.0,1.0,1.0
74,amazing food sculptures,bad,2010,MSC Musica,Msc,0.0,1.0,1.0
75,amazing itinerary,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
76,amazing kaping,good,2014,MSC Splendida,Msc,0.0,1.0,1.0
77,amazing lighting,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
78,amazing panoramic lifts,good,2014,MSC Splendida,Msc,0.0,1.0,1.0
79,amazing quality camera,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
